Year,Ballet,Duration,Dancers,Composer,Music,Composer era,Link
1951,A La Françaix,15,3,Jean Françaix ,Serenade for Small Orchestra,Neoclassical,https://www.balanchine.com/Ballet/A-La-Fran%C3%A7aix
1962,A Midsummer Night’s Dream,96,81,Felix Mendelssohn,"Excerpts from A Midsummer Night's Dream, Op. 21 and 61; Athalie, Op. 74 and The Fair Melusine, Op. 32; The first Walpurgis Night, Op. 60; Symphony No. 9 for Strings",Romantic,https://www.balanchine.com/Ballet/A-Midsummer-Night%E2%80%99s-Dream
1957,Agon,27,12,Igor Stravinsky,Agon,Neoclassical,https://www.balanchine.com/Ballet/Agon
1956,Allegro Brillante,16,10,Peter Ilyitch Tschaikovsky,"Piano Concerto No. 3, Op. 75",Romantic,https://www.balanchine.com/Ballet/Allegro-Brillante
1928,Apollo,30,4,Igor Stravinsky,Apollon Musagète,Neoclassical,https://www.balanchine.com/Ballet/Apollo
1980,Ballade,13,12,Gabriel Fauré,"Ballade for Piano and Orchestra, Op. 19",Impressionist,https://www.balanchine.com/Ballet/Ballade
1941,Ballet Imperial (Piano Concerto No. 2),36,29,Peter Ilyitch Tschaikovsky,"Piano Concerto No. 2 in G major, Op. 44",Romantic,https://www.balanchine.com/Ballet/Ballet-Imperial-(Piano-Concerto-No.-2)
1978,Ballo della Regina,17,18,Giuseppe Verdi,Excerpts from the opera Don Carlos,Romantic,https://www.balanchine.com/Ballet/Ballo-della-Regina
1949,Bourrée Fantasque,24,42,Emmanuel Chabrier,"Marche Joyeuse, Bourrée Fantasque, Prélude from the opera Gwendoline, Fète Polonaise from the comic opera Le Roi Malgré Lui",Romantic,https://www.balanchine.com/Ballet/Bourr%C3%A9e-Fantasque
1966,Brahms-Schoenberg Quartet,44,55,Johannes Brahms and Arnold Schoenberg,"Piano Quartet No. 1 in G minor, Op. 25",Romantic,https://www.balanchine.com/Ballet/Brahms-Schoenberg-Quartet
1963,Bugaku,25,10,Toshiro Mayuzumi,Bugaku,Contemporary,https://www.balanchine.com/Ballet/Bugaku
1976,Chaconne,30,27,Christoph Willibald Gluck,Excerpts from the opera Orfeo ed Euridice,Classical,https://www.balanchine.com/Ballet/Chaconne
1964,Clarinade,10,23,Morton Gould,Derivations for Clarinet and Jazz Band,Contemporary,https://www.balanchine.com/Ballet/Clarinade
1952,Concertino,12,3,Jean Françaix ,Concertino for piano and orchestra,Neoclassical,https://www.balanchine.com/Ballet/Concertino
1941,Concerto Barocco,18,11,Johann Sebastian Bach,"Concerto in D minor for Two Violins, B.W.V.",Baroque,https://www.balanchine.com/Ballet/Concerto-Barocco
1974,Coppélia,96,64,Léo Delibes,"Coppélia, ou La Fille aux Yeux d'émail",Romantic,https://www.balanchine.com/Ballet/Copp%C3%A9lia
1973,Cortège Hongrois,34,36,Alexander Glazounov,Excerpts from Raymonda,Romantic,https://www.balanchine.com/Ballet/Cort%C3%A8ge-Hongrois
1944,Danses Concertantes,21,14,Igor Stravinsky,Danses Concertantes for Chamber Orchestra,Neoclassical,https://www.balanchine.com/Ballet/Danses-Concertantes
1980,Davidsbündlertänze,41,8,Robert Schumann,"Davidsbündlertänze, Op. 6",Romantic,https://www.balanchine.com/Ballet/Davidsb%C3%BCndlert%C3%A4nze
1967,Diamonds from Jewels,30,34,Peter Ilyitch Tschaikovsky,"Symphony No. 3 in D major, Op. 29",Romantic,https://www.balanchine.com/Ballet/Jewels
1967,Divertimento Brillante,7,2,Mikhail Glinka,Based on themes from Vincenzo Bellini's La Sonnambula,Romantic,https://www.balanchine.com/Ballet/Divertimento-Brillante
1956,Divertimento No. 15,33,16,Wolfgang Amadeus Mozart,"Divertimento No. 15 in B-flat major, K. 287",Classical,https://www.balanchine.com/Ballet/Divertimento-No.-15
1972,Divertimento from “Le Baiser De La Fée”,23,14,Igor Stravinsky,Le Baiser de La Fée,Neoclassical,https://www.balanchine.com/Ballet/Divertimento-from-%E2%80%9CLe-Baiser-De-La-F%C3%A9e%E2%80%9D
1965,Don Quixote,125,79,Nicolas Nabokov,Don Quixote,Neoclassical,https://www.balanchine.com/Ballet/Don-Quixote
1960,Donizetti Variations,25,11,Gaetano Donizetti,Excerpts from the oepra Don Sebastian,Classical,https://www.balanchine.com/Ballet/Donizetti-Variations
1972,Duo Concertant,17,2,Igor Stravinsky,Duo Concertant,Neoclassical,https://www.balanchine.com/Ballet/Duo-Concertant
1982,Elégie,4,1,Igor Stravinsky,Elegie-Elegy for Solo Viola,Neoclassical,https://www.balanchine.com/Ballet/El%C3%A9gie
1967,Emeralds from Jewels,32,17,Gabriel Fauré,Pelléas et Mélisande and Shylock,Impressionist,https://www.balanchine.com/Ballet/Jewels
1959,Episodes,27,32,Anton von Webern,"Symphony, Op. 21; Five Pieces, Op. 10; Concerto, Op. 24; Ricercata in Six Voices from Bach's Musical Offering",Modernist,https://www.balanchine.com/Ballet/Episodes
1949,Firebird,29,56,Igor Stravinsky,Firebird Suite for Orchestra,Neoclassical,https://www.balanchine.com/Ballet/Firebird
1981,Garland Dance,5,57,Peter Ilyitch Tschaikovsky,Garland Dance from The Sleeping Beauty,Romantic,https://www.balanchine.com/Ballet/Garland-Dance
1954,George Balanchine’s The Nutcracker®,91,85,Peter Ilyitch Tschaikovsky,The Nutcracker,Romantic,https://www.balanchine.com/Ballet/George-Balanchine%E2%80%99s-The-Nutcracker%C2%AE
1958,Gounod Symphony,25,32,Charles Gounod,Symphony No. 1 in D major,Romantic,https://www.balanchine.com/Ballet/Gounod-Symphony
1947,Haieff Divertimento,14,10,Alexei Haieff,Divertimento for small orchestra,Neoclassical,https://www.balanchine.com/Ballet/Haieff-Divertimento
1965,Harlequinade,80,57,Riccardo Drigo,Les Millions d'Arlequin,Romantic,https://www.balanchine.com/Ballet/Harlequinade
1952,Harlequinade Pas de Deux,15,2,Riccardo Drigo,Excerpt of Les Millions d'Arlequin,Romantic,https://www.balanchine.com/Ballet/Harlequinade-Pas-de-Deux
1981,Hungarian Gypsy Airs,14,10,Sophie Menter and Peter Ilyitch Tschaikovsky,Ungarische Zigeunerweisen,Romantic,https://www.balanchine.com/Ballet/Hungarian-Gypsy-Airs
1954,Ivesiana,19,41,Charles Ives,"Central Park in the Dark, The Unanswered Question, In the Inn and In the Night",Modernist,https://www.balanchine.com/Ballet/Ivesiana
1978,Kammermusik No. 2,20,12,Paul Hindemith,Kammermusik No. 2,Neoclassical,https://www.balanchine.com/Ballet/Kammermusik-No.-2
1946,La Sonnambula,31,27,Vittorio Rietti and Vincenzo Bellini,"Based on themes from Bellini's operas, including La Somnambula, I Puritani, Norma, and I Capuletti ed i Montecchi",Classical,https://www.balanchine.com/Ballet/La-Sonnambula
1968,La Source,27,11,Léo Delibes,Excerpts from Naila and Sylvia,Romantic,https://www.balanchine.com/Ballet/La-Source
1951,La Valse,29,34,Maurice Ravel,Valses Nobles et Sentimentales,Impressionist,https://www.balanchine.com/Ballet/La-Valse
1979,Le Bourgeois Gentilhomme,31,24,Richard Strauss,Concert Suite,Romantic,https://www.balanchine.com/Ballet/Le-Bourgeois-Gentilhomme
1975,Le Tombeau de Couperin,18,16,Maurice Ravel,Le Tombeau de Couperin,Impressionist,https://www.balanchine.com/Ballet/Le-Tombeau-de-Couperin
1960,Liebeslieder Walzer,49,8,Johannes Brahms,"Liebeslieder, Op. 52 and Neue Liebeslieder, Op. 65",Romantic,https://www.balanchine.com/Ballet/Liebeslieder-Walzer
1963,Meditation,8,2,Peter Ilyitch Tschaikovsky,"Meditation, Op. 42, No. 1 from Souvenir d'un Lieu Cher",Romantic,https://www.balanchine.com/Ballet/Meditation
1960,Monumentum Pro Gesualdo,8,14,Igor Stravinsky,Monumentum pro Gesualdo,Neoclassical,https://www.balanchine.com/Ballet/Monumentum-Pro-Gesualdo
1963,Movements for Piano and Orchestra,9,8,Igor Stravinsky,Movements for Piano and Orchestra,Neoclassical,https://www.balanchine.com/Ballet/Movements-for-Piano-and-Orchestra
1981,Mozartiana,28,7,Peter Ilyitch Tschaikovsky,"Suite No. 4, Mozartiana, Op. 61",Romantic,https://www.balanchine.com/Ballet/Mozartiana
1948,Orpheus,30,41,Igor Stravinsky,Orpheus,Neoclassical,https://www.balanchine.com/Ballet/Orpheus
1955,Pas de Dix,20,10,Alexander Glazounov,Excerpts from Raymonda,Romantic,https://www.balanchine.com/Ballet/Pas-de-Dix
1955,Pas de Trois (Glinka),12,3,Mikahil Glinka,Excerpts from operas Ruslan and Ludmila,Romantic,https://www.balanchine.com/Ballet/Pas-de-Trois-(Glinka)
1948,Pas de Trois (Minkus),8,3,Léon Minkus,Excerpts from Paquita,Romantic,https://www.balanchine.com/Ballet/Pas-de-Trois-(Minkus)
1975,Pavane,7,1,Maurice Ravel,Pavane pour une Infante Défunte for piano,Impressionist,https://www.balanchine.com/Ballet/Pavane
1929,Prodigal Son,35,16,Sergei Prokofiev,"Le Fils Prodigue, Op. 46",Neoclassical,https://www.balanchine.com/Ballet/Prodigal-Son
1972,Pulcinella,37,54,Igor Stravinsky,Pulcinella: Ballet with Song in One Act after Pergolesi,Neoclassical,https://www.balanchine.com/Ballet/Pulcinella
1961,Raymonda Variations,27,14,Alexander Glazounov,Excerpts from Raymonda,Romantic,https://www.balanchine.com/Ballet/Raymonda-Variations
1980,Robert Schumann’s “Davidsbündlertänze”,41,8,Robert Schumann,"Davidsbündlertänze, Op. 6",Romantic,https://www.balanchine.com/Ballet/Robert-Schumann%E2%80%99s-%E2%80%9CDavidsb%C3%BCndlert%C3%A4nze%E2%80%9D
1967,Rubies from Jewels (Capriccio for Piano and Orchestra),19,15,Igor Stravinsky,Capriccio for Piano and Orchestra,Neoclassical,https://www.balanchine.com/Ballet/Jewels
1972,Scherzo à la Russe,3,18,Igor Stravinsky,Scherzo à la Russe,Neoclassical,https://www.balanchine.com/Ballet/Scherzo-%C3%A0-la-Russe
1952,Scotch Symphony,23,19,Felix Mendelssohn,"Symphony No. 3 in A minor, Op. 56",Romantic,https://www.balanchine.com/Ballet/Scotch-Symphony
1935,Serenade,33,26,Peter Ilyitch Tschaikovsky,"Serenade for Strings in C, Op. 48",Romantic,https://www.balanchine.com/Ballet/Serenade
1968,Slaughter on Tenth Avenue,25,21,Richard Rodgers and Hershy Kay,Excerpts from On Your Toes,Modernist,https://www.balanchine.com/Ballet/Slaughter-on-Tenth-Avenue
1975,Sonatine,12,2,Maurice Ravel,Sonatine for Piano,Impressionist,https://www.balanchine.com/Ballet/Sonatine
1957,Square Dance,23,14,Antonio Vivaldi and Arcangelo Corelli,"Concerto Grosso in B minor, Op. 3 no. 10; Concerto Grosso in E major, Op. 3, no. 12, first movement; Sarabanda, Badinerie e Giga, second and third movements",Baroque,https://www.balanchine.com/Ballet/Square-Dance
1958,Stars and Stripes,29,41,John Philip Sousa and Hershy Kay,"Corcoran Cadets, Thunder and Gladiator, Rifle Regiment, Liberty Bell, El Capitan, The Stars and Stripes Forever",Modernist,https://www.balanchine.com/Ballet/Stars-and-Stripes
1972,Stravinsky Violin Concerto,23,20,Igor Stravinsky,Concerto for Violin and Orchestra in D major,Neoclassical,https://www.balanchine.com/Ballet/Stravinsky-Violin-Concerto
1951,Swan Lake,36,34,Peter Ilyitch Tschaikovsky,"Swan Lake, Op. 20",Romantic,https://www.balanchine.com/Ballet/Swan-Lake
1950,Sylvia Pas de Deux,13,2,Léo Delibes,"Excerpts from Sylvia, ou la Nymphe de Diane",Romantic,https://www.balanchine.com/Ballet/Sylvia-Pas-de-Deux
1947,Symphonie Concertante,29,25,Wolfgang Amadeus Mozart,"Symphonie Concertante in E-flat major for Violin, Viola, and Orchestra, K.364",Classical,https://www.balanchine.com/Ballet/Symphonie-Concertante
1947,Symphony in C,33,52,Georges Bizet,Symphony No. 1 in C major,Romantic,https://www.balanchine.com/Ballet/Symphony-in-C
1972,Symphony in Three Movements,22,32,Igor Stravinsky,Symphony in Three Movements,Neoclassical,https://www.balanchine.com/Ballet/Symphony-in-Three-Movements
1964,Tarantella,6,2,Louis Moreau Gottschalk and Hershy Kay,"Grand Tarantelle for Piano and Orchestra, Op. 67",Romantic,https://www.balanchine.com/Ballet/Tarantella
1946,The Four Temperaments,30,25,Paul Hindemith,The Four Temperaments: Theme with Four Variations for String Orchestra and Piano,Neoclassical,https://www.balanchine.com/Ballet/The-Four-Temperaments
1975,The Steadfast Tin Soldier,11,2,Georges Bizet,"Jeux d'Enfants, Op. 22-26, nos. 6, 3, 11, 12",Romantic,https://www.balanchine.com/Ballet/The-Steadfast-Tin-Soldier
1947,Theme and Variations,30,26,Peter Ilyitch Tschaikovsky,"Suite No. 3 for Orchestra in G major, Op. 55, final movement",Romantic,https://www.balanchine.com/Ballet/Theme-and-Variations
1960,Tschaikovsky Pas de Deux,10,2,Peter Ilyitch Tschaikovsky,"Excerpt from Swan Lake, Op. 20, Act III",Romantic,https://www.balanchine.com/Ballet/Tschaikovsky-Pas-de-Deux
1941,Tschaikovsky Piano Concerto No. 2,36,29,Peter Ilyitch Tschaikovsky,"Piano Concerto No. 2 in G, Op. 44",Romantic,https://www.balanchine.com/Ballet/Tschaikovsky-Piano-Concerto-No.-2
1970,Tschaikovsky Suite No. 3,42,52,Peter Ilyitch Tschaikovsky,"Suite No. 3 in G major, Op. 55",Romantic,https://www.balanchine.com/Ballet/Tschaikovsky-Suite-No.-3
1975,Tzigane,9,10,Maurice Ravel,Tzigane,Impressionist,https://www.balanchine.com/Ballet/Tzigane
1976,Union Jack,58,74,Hershy Kay,"Traditional British melodies, like Keel Row, Amazing Grace and the Scottish theme frm the Water Music by George Frederick Handel",Contemporary,https://www.balanchine.com/Ballet/Union-Jack
1967,Valse-Fantaisie,9,6,Mikhail Glinka,Valse Fantaisie in B minor,Romantic,https://www.balanchine.com/Ballet/Valse-Fantaisie
1974,Variations Pour une Porte et un Soupir,24,2,Pierre Henry,Sonority,Contemporary,https://www.balanchine.com/Ballet/Variations-Pour-une-Porte-et-un-Soupir
1977,Vienna Waltzes,45,55,"Johann Strauss II, Franz Lehar and Richard Strauss","Tales from the Vienna Woods, Op. 325, Voices of Spring, Op. 410, Explosions Polka, Op. 43, Gold and Silver Waltz, first sequence of waltzes from Der Rosenkavalier",Romantic,https://www.balanchine.com/Ballet/Vienna-Waltzes
1980,Walpurgisnacht Ballet,17,25,Charles Gounod,Excerpts from Faust,Romantic,https://www.balanchine.com/Ballet/Walpurgisnacht-Ballet
1954,Western Symphony,28,36,Hershy Kay,"Traditional American melodies, like Red River Valley and Old Taylor",Contemporary,https://www.balanchine.com/Ballet/Western-Symphony
1970,Who Cares?,41,24,George Gershwin and Hershy Kay,Excerpts of George Gershwin,Modernist,https://www.balanchine.com/Ballet/Who-Cares%3F