shoe,date,year,discount_dance_price,link
Bloch European Balance,8/8/2011,2011,49.55,https://web.archive.org/web/20110808160558/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,8/8/2011,2011,67.5,https://web.archive.org/web/20110808160558/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,8/8/2011,2011,64.45,https://web.archive.org/web/20110808160558/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,8/8/2011,2011,82.5,https://web.archive.org/web/20110808160558/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,4/26/2012,2012,56.8,https://web.archive.org/web/20120426222246/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,4/26/2012,2012,70.5,https://web.archive.org/web/20120426222246/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,4/26/2012,2012,64.45,https://web.archive.org/web/20120426222246/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,4/26/2012,2012,86.25,https://web.archive.org/web/20120426222246/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,3/8/2013,2013,60.4,https://web.archive.org/web/20130308194501/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,3/8/2013,2013,70.5,https://web.archive.org/web/20130308194501/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,3/8/2013,2013,64.5,https://web.archive.org/web/20130308194501/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,3/8/2013,2013,87,https://web.archive.org/web/20130308194501/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,2/8/2014,2014,61.45,https://web.archive.org/web/20140208024736/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,2/8/2014,2014,72.65,https://web.archive.org/web/20140208024736/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,2/8/2014,2014,65.95,https://web.archive.org/web/20140208024736/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,2/8/2014,2014,94.4,https://web.archive.org/web/20140208024736/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,2/7/2015,2015,60.95,https://web.archive.org/web/20150207080408/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,2/7/2015,2015,70.95,https://web.archive.org/web/20150207080408/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,2/7/2015,2015,76.26,https://web.archive.org/web/20150207080408/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,2/7/2015,2015,96,https://web.archive.org/web/20150207080408/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,3/17/2016,2016,67.2,https://web.archive.org/web/20160317032509/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,3/17/2016,2016,73.7,https://web.archive.org/web/20160317032509/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,3/17/2016,2016,77.05,https://web.archive.org/web/20160317032509/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,3/17/2016,2016,103.05,https://web.archive.org/web/20160317032509/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,9/11/2017,2017,73.7,https://web.archive.org/web/20170911122011/https://www.discountdance.com/dancewear/shoes/page1
Grishko 2007/Nikolay 3007,9/11/2017,2017,77.79,https://web.archive.org/web/20170911122011/https://www.discountdance.com/dancewear/shoes/page1
Bloch European Balance,1/19/2019,2019,80.05,https://web.archive.org/web/20190119023031/https://www.discountdance.com/dancewear/shoes/page1
Grishko 2007/Nikolay 3007,1/19/2019,2019,77.79,https://web.archive.org/web/20190119023031/https://www.discountdance.com/dancewear/shoes/page1
Bloch European Balance,9/22/2020,2020,84.65,https://web.archive.org/web/20200922151904/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,9/22/2020,2020,79.97,https://web.archive.org/web/20200922151904/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,9/22/2020,2020,81,https://web.archive.org/web/20200922151904/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,9/22/2020,2020,139.99,https://web.archive.org/web/20200922151904/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,4/15/2021,2021,84.65,https://web.archive.org/web/20210415090653/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,4/15/2021,2021,83.23,https://web.archive.org/web/20210415090653/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,4/15/2021,2021,97,https://web.archive.org/web/20210415090653/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,4/15/2021,2021,139.99,https://web.archive.org/web/20210415090653/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,9/29/22,2022,91.54,https://web.archive.org/web/20220929055202/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Freed Studio Professional,9/29/22,2022,102,https://web.archive.org/web/20220929055202/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Grishko 2007/Nikolay 3007,9/29/22,2022,118,https://web.archive.org/web/20220929055202/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Gaynor Minden,9/29/22,2022,155.99,https://web.archive.org/web/20220929055202/http://www.discountdance.com/dancewear/shoes/pointe-shoes/page1
Bloch European Balance,7/29/2023,2023,108.59,https://www.discountdance.com//dancewear/shoes/page1?rfilter=Age%23Womens%3ACategory%23Shoes%3ASubCategory%23Shoes%21Pointe+Shoes&SID=1803758584
Freed Studio Professional,7/29/2023,2023,102,https://www.discountdance.com//dancewear/shoes/page1?rfilter=Age%23Womens%3ACategory%23Shoes%3ASubCategory%23Shoes%21Pointe+Shoes&SID=1803758584
Grishko 2007/Nikolay 3007,7/29/2023,2023,125,https://www.discountdance.com//dancewear/shoes/page1?rfilter=Age%23Womens%3ACategory%23Shoes%3ASubCategory%23Shoes%21Pointe+Shoes&SID=1803758584
Gaynor Minden,7/29/2023,2023,155.99,https://www.discountdance.com//dancewear/shoes/page1?rfilter=Age%23Womens%3ACategory%23Shoes%3ASubCategory%23Shoes%21Pointe+Shoes&SID=1803758584